Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chronic myeloid leukemia	16/76	1.4069936953013566E-5	6.878635843695521E-5	0	0	3.3873904390904856	37.84213123698838	CDKN1A;SMAD3;HDAC1;TGFB3;CDKN2A;BRAF;DDB2;GADD45G;BCR;CDK6;MECOM;E2F1;MDM2;E2F2;HRAS;TP53
Autoimmune thyroid disease	13/53	1.577339044512091E-5	7.590944151714437E-5	0	0	3.9466294266761794	43.638616380855574	IFNA5;IL10;CD40;CD80;IFNA2;PRF1;IL4;TPO;IL5;HLA-DPB1;FAS;CGA;IFNA21
Adipocytokine signaling pathway	15/69	1.7281173372113154E-5	8.188617536324387E-5	0	0	3.497848822973871	38.35703555008896	CPT1A;CPT1C;PRKAB1;CPT1B;PRKAG3;RXRB;MAPK10;G6PC2;NPY;LEP;PPARA;PCK1;RXRG;PCK2;NFKBIB
Thermogenesis	32/231	1.737371333224568E-5	8.107732888381318E-5	0	0	2.2289322369772893	24.430328182857938	ATF2;NDUFA13;SMARCB1;NDUFB5;COX6A2;PRKAG3;ACTG1;RPTOR;RPS6KA2;NPPA;PRKG2;PRKACA;HRAS;MAP3K5;CPT1A;NDUFA7;NDUFA1;BMP8B;TSC2;TSC1;CPT1C;MAPK14;PRKAB1;CPT1B;MAPK12;SMARCA4;MAPK13;COX7A2L;CREB1;RHEB;GNAS;NDUFS1
Natural killer cell mediated cytotoxicity	22/131	1.8226118832075363E-5	8.37857403026748E-5	0	0	2.7021549685874486	29.48768463687322	IFNA5;CSF2;SYK;IFNGR1;IFNB1;IFNA2;PRF1;TNFRSF10B;TNFRSF10A;BRAF;KIR3DL1;KIR2DL3;KLRK1;IFNG;LCK;TNFSF10;PTK2B;FAS;PTPN6;HRAS;MICA;IFNA21
NF-kappa B signaling pathway	18/95	1.942905893841674E-5	8.800220813282876E-5	0	0	3.0486513951814374	33.074028559975794	PIAS4;LYN;CD40;SYK;CSNK2A1;PARP1;XIAP;BCL10;CFLAR;PIDD1;IRAK1;TRAF3;LCK;BCL2;TRIM25;ATM;MAP3K7;BIRC3
Cytosolic DNA-sensing pathway	14/63	2.5184800169011784E-5	1.1241910800080622E-4	0	0	3.575578796817735	37.86276897585479	IFNA5;ZBP1;IFNB1;IFNA2;MAVS;TBK1;IRF3;POLR3D;POLR1C;CASP1;IRF7;POLR3G;IFNA21;NFKBIB
Adherens junction	15/72	2.9552789367125746E-5	1.300322732153533E-4	0	0	3.352105122016627	34.960218636834576	PTPN1;TCF7L1;SMAD3;CSNK2A1;INSR;LEF1;TCF7;ACTG1;IGF1R;AFDN;CDH1;ERBB2;PTPN6;MAP3K7;MET
Osteoclast differentiation	21/127	3.5579730133466036E-5	1.5434587156489492E-4	0	0	2.6605684747974485	27.254156969901203	JUND;CSF1;SYK;IFNGR1;IFNB1;FHL2;CYBA;TYK2;FOS;MAPK14;MAPK12;MAPK13;FOSL1;MAPK10;CREB1;IFNG;LCK;MAP3K7;SQSTM1;IRF9;MAP2K6
HIF-1 signaling pathway	18/100	3.991486696436621E-5	1.707469309031221E-4	0	0	2.8962188254223653	29.335110307517077	CDKN1A;PFKFB3;PDHA1;NOS2;EPO;IFNGR1;INSR;HIF1A;IGF1R;HK1;VEGFA;IFNG;MKNK1;NPPA;ERBB2;BCL2;HMOX1;EIF4E2
Autophagy	21/128	4.011085256464105E-5	1.692348299987595E-4	0	0	2.6397827835880934	26.724800894716715	IGBP1;TSC2;TSC1;HMGB1;CFLAR;HIF1A;IGF1R;RPTOR;MAPK10;VMP1;MRAS;ATG16L2;RHEB;BCL2;ULK1;PIK3C3;PRKACA;MAP3K7;CTSD;HRAS;ATG5
Tight junction	25/170	5.202646966361034E-5	2.165426034647565E-4	0	0	2.366191850835266	23.339543648911974	NEDD4L;YBX3;PRKAG3;ACTG1;PPP2R1B;CLDN23;ERBB2;PRKACA;MYH10;MAP3K5;VASP;ACTR2;PRKCE;MSN;PRKAB1;TUBA4A;MAPK10;CLDN5;AFDN;CTTN;PPP2R2C;CLDN7;PPP2R2D;MYH9;CFTR
Longevity regulating pathway	18/102	5.2420129614605625E-5	2.152719989506471E-4	0	0	2.8394302210023192	27.98604861328279	ATF2;HDAC1;INSR;TSC2;TSC1;PRKAB1;PRKAG3;IGF1R;RPTOR;CREB1;RHEB;ULK1;PRKACA;EIF4E2;TP53;HRAS;CRYAB;ATG5
Hippo signaling pathway	24/160	5.279446296296312E-5	2.1395650779727158E-4	0	0	2.4135156878519712	23.770967596645544	FZD1;TEAD4;TCF7L1;SMAD3;TGFB3;TCF7;LEF1;BMP8B;AXIN2;AREG;ACTG1;BBC3;BMP4;RASSF1;BMP2;CCND2;PPP2R1B;APC;PPP2R2C;CDH1;ID1;PPP2R2D;BIRC5;AMH
African trypanosomiasis	10/37	6.156430760646283E-5	2.462572304258513E-4	0	0	4.348676915048597	42.16228513112387	IL10;IFNG;LAMA4;NPPA;TLR9;HBB;FAS;HBA2;HBA1;THOP1
C-type lectin receptor signaling pathway	18/104	6.827724662177524E-5	2.696075892244458E-4	0	0	2.7848257936753513	26.71186517450833	IL10;SYK;BCL10;MAPK14;MAPK12;NFATC4;MAPK13;MAPK10;CASP8;MRAS;IL23A;BCL3;MDM2;CASP1;CLEC4E;HRAS;CCL17;IRF9
Salmonella infection	16/86	6.984846962990506E-5	2.723206157722881E-4	0	0	2.9935078298939177	28.64542238584045	CSF2;NOS2;IFNGR1;RHOG;FOS;NLRC4;MAPK14;MAPK12;ACTG1;MAPK13;MAPK10;IFNG;CASP1;MYH9;MYH10;PFN2
Hematopoietic cell lineage	17/97	9.167123990374734E-5	3.5293427362942723E-4	0	0	2.819915236665533	26.217603175883177	CSF2;CSF1;MME;EPO;IL11RA;FLT3;GP1BB;ITGA2B;GP1BA;EPOR;IL4;CD2;GP9;IL5;CD19;HLA-DPB1;CD44
Neurotrophin signaling pathway	19/119	1.3335449325772682E-4	5.070763447330847E-4	0	0	2.569008295192574	22.92197551883483	NGFR;ZNF274;PSEN2;BRAF;PSEN1;MAPK14;MAPK12;MAPK13;MAPK10;MAPK7;IRAK1;RPS6KA2;BCL2;TP53;HRAS;SH2B3;MAP2K5;MAP3K5;NFKBIB
Relaxin signaling pathway	20/130	1.516249321388455E-4	5.695180377898099E-4	0	0	2.4754007054892013	21.768922924090106	ATF2;SMAD3;NOS2;VEGFB;VEGFD;FOS;MAPK14;MMP9;MAPK12;MAPK13;VEGFA;MAPK10;CREB1;MMP13;GNB1;GNAS;GNB4;NOS1;PRKACA;HRAS
T cell receptor signaling pathway	17/101	1.5339707879646956E-4	5.692325333652124E-4	0	0	2.708235425312443	23.7850253870664	IL10;CSF2;BCL10;FOS;MAPK14;RASGRP1;MAPK12;MAPK13;IL4;IL5;PTPRC;IFNG;LCK;PTPN6;MAP3K7;HRAS;NFKBIB
Inflammatory bowel disease (IBD)	13/65	1.5356897287754285E-4	5.630862338843238E-4	0	0	3.2180209171359615	28.258602597427235	IL10;SMAD3;IFNGR1;TGFB3;GATA3;IL4;IL5;IFNG;IL23A;HLA-DPB1;STAT6;IL12RB1;TLR2
Acute myeloid leukemia	13/66	1.804971616981491E-4	6.540367741532932E-4	0	0	3.1692630244520834	27.318399172268116	CEBPA;TCF7L1;CSF2;JUP;FLT3;LEF1;TCF7;BRAF;DUSP6;PML;CCNA1;RARA;HRAS
GnRH signaling pathway	16/93	1.8268358959542424E-4	6.54262158085938E-4	0	0	2.7681900362459886	23.827901404558773	EGR1;CACNA1C;MAPK14;ELK1;MAPK12;MAPK13;MAPK10;MMP14;MAPK7;GNA11;GNAS;PTK2B;PRKACA;CGA;HRAS;MAP2K6
Amyotrophic lateral sclerosis (ALS)	11/51	2.4312050134845233E-4	8.607024645439461E-4	0	0	3.47041471455839	28.880629350039392	DAXX;APAF1;CASP1;BCL2;NOS1;MAPK14;TP53;MAPK12;MAP3K5;MAP2K6;MAPK13
Fc epsilon RI signaling pathway	13/68	2.466765428650371E-4	8.633679000276298E-4	0	0	3.076049406085845	25.554073184827377	LYN;CSF2;SYK;MAPK14;MAPK12;MAPK13;IL4;MAPK10;IL5;ALOX5AP;MS4A2;HRAS;MAP2K6
Thyroid hormone signaling pathway	18/116	2.854419564383173E-4	9.878216020561992E-4	0	0	2.4967403667434187	20.377076231125624	NCOA1;THRB;HDAC1;NCOA3;TSC2;ATP2A2;ATP1A1;HIF1A;ACTG1;MED17;BMP4;RXRB;RHEB;MDM2;PRKACA;TP53;HRAS;RXRG
Primary immunodeficiency	9/37	3.425159782319937E-4	0.0011721657921717119	0	0	3.9138092235437374	31.229036222826725	CD79A;CD40;PTPRC;LCK;IGLL1;CD19;RAG2;ADA;UNG
Progesterone-mediated oocyte maturation	16/99	3.820354473426686E-4	0.0012930430525444167	0	0	2.600420943140171	20.465305436204815	PLK1;BRAF;CDC25C;MAPK14;CDC25A;MAPK12;IGF1R;CDC25B;MAPK13;CCNA2;MAPK10;CCNA1;RPS6KA2;CDC16;CDK2;PRKACA
Allograft rejection	9/38	4.2431857691465973E-4	0.0014205448009751652	0	0	3.8108142439767962	29.591071777927638	IL10;IL4;CD40;IL5;IFNG;CD80;PRF1;HLA-DPB1;FAS
AGE-RAGE signaling pathway in diabetic complications	16/100	4.290356870240287E-4	0.0014208923828322672	0	0	2.574416733708769	19.9619512945065	EGR1;SMAD3;TGFB3;PRKCE;VEGFB;VEGFD;MAPK14;AGER;F3;MAPK12;MAPK13;VEGFA;MAPK10;THBD;BCL2;HRAS
Nucleotide excision repair	10/47	5.189455712490118E-4	0.0017003748504754853	0	0	3.4234265075914485	25.893810625119237	DDB1;POLD4;RFC3;CDK7;LIG1;POLD1;POLE3;XPC;ERCC5;DDB2
PPAR signaling pathway	13/74	5.823101612429792E-4	0.0018879108385561852	0	0	2.826639994781588	21.05424871782397	CPT1A;DBI;CPT1C;CPT1B;RXRB;ACOX1;SCD;EHHADH;ANGPTL4;PPARA;PCK1;RXRG;PCK2
Shigellosis	12/65	5.896506036337403E-4	0.00189179568665825	0	0	2.9704808465870416	22.08843733512271	MAPK10;CTTN;RHOG;NOD1;MAPK14;CD44;MAPK12;ACTG1;PFN2;ATG5;MAPK13;NFKBIB
Ras signaling pathway	28/232	5.904994638385533E-4	0.0018749879882708701	0	0	1.94190917413377	14.437204985752512	CSF1;FLT3;ELK1;RASGRP1;IGF1R;FGF4;RASSF1;FGF7;TBK1;PRKACA;RALGDS;HRAS;PDGFRB;NGFR;INSR;VEGFB;VEGFD;PGF;VEGFA;MAPK10;AFDN;MRAS;FGF18;GNB1;GNB4;RGL2;MET;EPHA2
Glucagon signaling pathway	16/103	6.010003317068834E-4	0.0018888581853644905	0	0	2.4994337220473484	18.538087643279038	ATF2;PFKFB1;CPT1A;PDHA1;CPT1C;PRKAB1;CPT1B;PRKAG3;G6PC2;CREB1;GNAS;PRKACA;PCK1;PPARA;FBP1;PCK2
Glioma	13/75	6.650030091347219E-4	0.002068898250641357	0	0	2.7889514615178332	20.403185175640118	PDGFRB;CDKN1A;CDKN2A;BRAF;IGF1R;DDB2;GADD45G;CDK6;E2F1;MDM2;E2F2;HRAS;TP53
Pertussis	13/76	7.573698646741612E-4	0.0023326991831964165	0	0	2.75225473176102	19.776763518850274	IL10;NOS2;NOD1;FOS;MAPK14;MAPK12;MAPK13;MAPK10;C4A;IRF3;IRAK1;IL23A;CASP1
Non-alcoholic fatty liver disease (NAFLD)	20/149	9.305845143181375E-4	0.0028378220832671916	0	0	2.159745581970444	15.074371183005335	CEBPA;NDUFA13;XBP1;NDUFA7;PKLR;NDUFB5;INSR;NDUFA1;COX6A2;PRKAB1;PRKAG3;MAPK10;COX7A2L;CASP8;DDIT3;LEP;FAS;NDUFS1;PPARA;MAP3K5
Sphingolipid signaling pathway	17/119	0.0010913001759194094	0.003295298570423315	0	0	2.2985863693828295	15.67724507905654	PRKCE;MAPK14;MAPK12;MAPK13;MAPK10;SMPD2;PPP2R1B;PPP2R2C;PPP2R2D;BCL2;S1PR1;S1PR3;MS4A2;TP53;CTSD;HRAS;MAP3K5
Prolactin signaling pathway	12/70	0.0011700519986758537	0.0034987962678850767	0	0	2.7583036432593957	18.620499954986375	SOCS2;MAPK10;CCND2;GALT;CISH;PRL;FOS;CGA;MAPK14;HRAS;MAPK12;MAPK13
Rheumatoid arthritis	14/91	0.0014191173580321602	0.00420277063724909	0	0	2.4754007054892013	16.232985158685022	ATP6V0B;CSF2;ATP6V1G2;CSF1;TGFB3;CD80;TCIRG1;FOS;VEGFA;IFNG;IL23A;HLA-DPB1;ATP6V1E1;TLR2
Wnt signaling pathway	20/158	0.001919377102654046	0.005630172834451868	0	0	2.0367220994531405	12.74123358408275	FZD1;TCF7L1;SMAD3;CSNK2A1;SERPINF1;CTNNBIP1;TCF7;LEF1;PSEN1;AXIN2;NFATC4;FOSL1;MAPK10;CCND2;APC;SFRP5;PRKACA;MAP3K7;TP53;SKP1
Mitophagy	11/65	0.002060887663678188	0.005988239626536621	0	0	2.7229407760381212	16.84034985512666	MAPK10;TBK1;MRAS;CSNK2A1;E2F1;ULK1;HRAS;SQSTM1;TP53;HIF1A;ATG5
Phospholipase D signaling pathway	19/148	0.002089009272149104	0.006013222951606768	0	0	2.0656215346480833	12.747085494914058	PDGFRB;DGKE;SYK;DGKB;DGKA;INSR;F2R;TSC2;LPAR2;TSC1;PIK3R5;MRAS;RHEB;GNAS;PTK2B;AVP;MS4A2;RALGDS;HRAS
Asthma	7/31	0.002476388014832337	0.007062291746003331	0	0	3.6332494225728595	21.80296347681041	IL10;IL4;CD40;IL5;PRG2;HLA-DPB1;MS4A2
Circadian rhythm	7/31	0.002476388014832337	0.0069975000786088055	0	0	3.6332494225728595	21.80296347681041	PER3;CREB1;BHLHE40;NR1D1;PRKAB1;PRKAG3;SKP1
Galactose metabolism	7/31	0.002476388014832337	0.006933886441530543	0	0	3.6332494225728595	21.80296347681041	G6PC2;GALT;AKR1B10;AKR1B1;LCT;GLA;HK1
Insulin resistance	15/108	0.0027641736561041597	0.007669959334054786	0	0	2.2347367480110845	13.164864457018854	PTPN1;CPT1A;PRKCE;INSR;PRKAB1;CPT1B;PRKAG3;MAPK10;G6PC2;CREB1;PPP1R3C;RPS6KA2;PCK1;PPARA;PCK2
Epithelial cell signaling in Helicobacter pylori infection	11/68	0.0029788319671598556	0.008191787909689604	0	0	2.6028110359187924	15.13853204744686	LYN;MAPK10;ATP6V0B;ATP6V1G2;NOD1;TCIRG1;ATP6V1E1;MAPK14;MET;MAPK12;MAPK13
Focal adhesion	23/199	0.003055927422890351	0.00832943049778963	0	0	1.8596603289981688	10.76868328863334	VASP;PDGFRB;VWF;CAV1;LAMA4;ITGA2B;VEGFB;XIAP;BRAF;VEGFD;ELK1;THBS1;PGF;VEGFA;ACTG1;IGF1R;MAPK10;CCND2;ERBB2;BCL2;HRAS;MET;BIRC3
Dopaminergic synapse	17/131	0.0031180478950447736	0.008424199576085879	0	0	2.0880288393630284	12.04907095120931	ATF2;CACNA1C;FOS;MAPK14;SLC6A3;MAPK12;MAPK13;MAPK10;CREB1;PPP2R1B;PPP2R2C;GNB1;PPP2R2D;GNAS;GNB4;PRKACA;GRIA4
Choline metabolism in cancer	14/99	0.00318600770291555	0.00853295976085208	0	0	2.2753683252476495	13.081062125132062	PDGFRB;DGKE;SLC44A4;CHKA;DGKB;DGKA;TSC2;TSC1;FOS;HIF1A;MAPK10;RHEB;RALGDS;HRAS
cAMP signaling pathway	24/212	0.0032963991488966756	0.008752508085001517	0	0	1.8215212738505444	10.409856688656795	ABCC4;HTR1F;F2R;PDE4C;ATP2A2;BRAF;FOS;CACNA1C;ATP1A1;GLI1;GLI3;MAPK10;AFDN;CREB1;ACOX1;NPY;NPPA;GNAS;PRKACA;CGA;PPARA;AMH;CFTR;GRIA4
Vibrio cholerae infection	9/50	0.003336903869036628	0.0087843281338742	0	0	2.8962188254223653	16.51630152375108	ATP6V0B;ATP6V1G2;GNAS;TCIRG1;SEC61B;ATP6V1E1;PRKACA;CFTR;ACTG1
Herpes simplex virus 1 infection	46/492	0.003778668656499535	0.009862965645778448	0	0	1.5043593718318518	8.391893556063893	IFNA5;ZNF350;IFNA2;ZNF26;TBK1;CASP8;IRAK1;ZNF746;ZNF304;ZNF268;ZNF224;MAP3K7;ZNF785;IFNA21;PDIA3;CD74;DAXX;EIF2B2;POU2F1;APAF1;SYK;IFNGR1;IFNB1;TSC2;TSC1;TYK2;PML;MAVS;OAS1;IRF3;IFNG;RHEB;TRAF3;HLA-DPB1;BCL2;ZNF614;TLR9;IRF7;FAS;SRSF5;SRSF7;TP53;ZNF234;IRF9;BIRC3;TLR2
Adrenergic signaling in cardiomyocytes	18/145	0.0038883924067126797	0.010064074464432818	0	0	1.9973922933947348	11.085046795221624	ATF2;TPM2;ATP2A2;CACNA1C;ATP1A1;MAPK14;MAPK12;PIK3R5;MAPK13;CACNB1;CREB1;PPP2R1B;PPP2R2C;PPP2R2D;GNAS;BCL2;PRKACA;CACNG4
Lysosome	16/123	0.003967902031472589	0.010184281880779644	0	0	2.093021734722577	11.573400895056363	CD63;ATP6V0B;CLTC;AP1B1;M6PR;TCIRG1;IGF2R;CLN5;GALC;GNPTG;CLN3;PPT2;CTSD;GLA;ARSB;CTSC
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	11/72	0.004685626507297614	0.011927049291303017	0	0	2.458210422812193	13.184010929256395	CACNB1;TCF7L1;DES;JUP;ITGA2B;LEF1;TCF7;ATP2A2;CACNA1C;CACNG4;ACTG1
Ubiquitin mediated proteolysis	17/137	0.00495343853163051	0.012505402194608172	0	0	1.9965823208507791	10.597206657076494	PIAS4;PIAS3;UBE2C;NEDD4L;XIAP;BRCA1;PML;DDB2;DDB1;UBE2W;CDC34;CDC16;MDM2;BIRC6;BIRC7;SKP1;BIRC3
ABC transporters	8/45	0.005988025000094766	0.01499440406527795	0	0	2.860463037454188	14.639831625711114	ABCA1;ABCC3;ABCC4;ABCB10;ABCA3;ABCG1;CFTR;ABCG2
Hypertrophic cardiomyopathy (HCM)	12/85	0.006164339720016189	0.015311424465846662	0	0	2.2715441768018554	11.559829822295699	CACNB1;ACE;DES;TGFB3;TPM2;ITGA2B;ATP2A2;CACNA1C;PRKAB1;PRKAG3;CACNG4;ACTG1
Cortisol synthesis and secretion	10/65	0.006524264875137554	0.016075788652338933	0	0	2.4754007054892013	12.456778253442614	ATF2;CREB1;CYP11A1;GNA11;GNAS;NR0B1;CACNA1C;PRKACA;PDE8A;CACNA1H
Type II diabetes mellitus	8/46	0.006862715896180921	0.01677552774622003	0	0	2.798279058379097	13.940052502319016	SOCS2;MAPK10;PKLR;INSR;PRKCE;PDX1;CACNA1C;HK1
Hedgehog signaling pathway	8/47	0.007830549593743123	0.018990624211597498	0	0	2.7387412060731586	13.282135069706829	SHH;GRK3;CCND2;BCL2;GAS1;GLI1;PRKACA;GLI3
Notch signaling pathway	8/48	0.008897366927851837	0.021409289170143484	0	0	2.681684097613301	12.662912032233011	JAG2;NCOR2;HDAC1;PSEN2;DTX1;HES1;PSEN1;RBPJ
Amphetamine addiction	10/68	0.008964493218796167	0.021403596212319534	0	0	2.366191850835266	11.15537291746711	ATF2;ARC;CREB1;HDAC1;GNAS;FOS;CACNA1C;PRKACA;SLC6A3;GRIA4
Citrate cycle (TCA cycle)	6/30	0.009323431633376253	0.022089361100614505	0	0	3.2180209171359615	15.0449702881672	FH;PDHA1;SUCLG1;ACO2;PCK1;PCK2
Complement and coagulation cascades	11/79	0.009451616298871729	0.022222120763759484	0	0	2.240394309398454	10.443753814683518	C4A;THBD;FGA;PROC;VWF;F2R;ITGAX;MASP2;CD46;F3;KLKB1
Alzheimer disease	19/171	0.010071479955551221	0.02350011989628618	0	0	1.7877893984088675	8.220340781733473	NDUFA13;NDUFA7;APAF1;MME;NDUFB5;PSEN2;NDUFA1;ATP2A2;CACNA1C;PSEN1;COX6A2;BACE1;COX7A2L;CASP8;FAS;NDUFS1;NOS1;ATF6;CDK5R1
Ferroptosis	7/40	0.010797889862676347	0.025005639681987327	0	0	2.815768302493966	12.750937984388873	GCLC;MAP1LC3A;GPX4;HMOX1;SLC39A8;TP53;ATG5
Glycine, serine and threonine metabolism	7/40	0.010797889862676347	0.024819030430629215	0	0	2.815768302493966	12.750937984388873	AOC3;ALAS2;ALAS1;AOC2;PSAT1;SHMT1;CTH
Apelin signaling pathway	16/137	0.011072401994340763	0.025261480105607075	0	0	1.8791363019772038	8.46231370719266	EGR1;SMAD3;NOS2;PRKCE;PRKAB1;PRKAG3;KLF2;PIK3R5;MRAS;CDH1;GNB1;GNB4;PIK3C3;NOS1;PRKACA;HRAS
Long-term depression	9/60	0.011323112679486972	0.025643519891779317	0	0	2.4135156878519712	10.814744824582682	LYN;PPP2R1B;GNA11;GNAS;PRKG2;BRAF;NOS1;HRAS;IGF1R
B cell receptor signaling pathway	10/71	0.012048486578960998	0.027087108513284577	0	0	2.2662119134760292	10.013973965848573	LYN;CD79A;CD72;SYK;CD19;PTPN6;FOS;BCL10;HRAS;NFKBIB
Mismatch repair	5/23	0.012094046491136786	0.02699250955992848	0	0	3.497848822973871	15.44314936860193	POLD4;RFC3;LIG1;MSH2;POLD1
Graft-versus-host disease	7/41	0.012340435647145842	0.02734427467137352	0	0	2.747091026823382	12.073118812584388	IFNG;CD80;PRF1;HLA-DPB1;FAS;KIR3DL1;KIR2DL3
Oxytocin signaling pathway	17/153	0.014387225341302694	0.031651895750865924	0	0	1.7877893984088675	7.582756047569967	CDKN1A;CACNA1C;FOS;ELK1;PRKAB1;PRKAG3;ACTG1;PIK3R5;NFATC4;CACNB1;MAPK7;NPPA;GNAS;PRKACA;HRAS;MAP2K5;CACNG4
Thyroid hormone synthesis	10/74	0.01587170905848242	0.034670116241224014	0	0	2.1743384575242986	9.008756189463993	ATF2;TPO;CREB1;ALB;GNAS;ATP1A1;PRKACA;CGA;SLC26A4;SLC5A5
Circadian entrainment	12/97	0.0169729951543718	0.036814665546102215	0	0	1.9905284023521412	8.113655956990977	CREB1;PER3;GNB1;GNAS;GNB4;PRKG2;CACNA1C;NOS1;FOS;PRKACA;CACNA1H;GRIA4
Central carbon metabolism in cancer	9/65	0.018603807314722023	0.04006973883170897	0	0	2.227860634940281	8.876663462796223	PDGFRB;PDHA1;FLT3;ERBB2;HRAS;TP53;MET;HIF1A;HK1
Legionellosis	8/55	0.01962225993282111	0.04196983374520071	0	0	2.3403788488261537	9.200241401463655	CLK1;VCP;CASP8;APAF1;HSF1;CASP1;NLRC4;TLR2
Regulation of lipolysis in adipocytes	8/55	0.01962225993282111	0.041680386615923465	0	0	2.3403788488261537	9.200241401463655	NPY;INSR;NPPA;GNAS;PRKG2;PRKACA;CGA;PTGS1
Leukocyte transendothelial migration	13/112	0.02166225050253826	0.045698446265628655	0	0	1.867601425123549	7.156992563980916	VASP;MSN;CYBA;MAPK14;MMP9;MAPK12;ACTG1;MAPK13;CLDN5;AFDN;CLDN7;CLDN23;PTK2B
Glutathione metabolism	8/56	0.021686684693982557	0.04543876793024917	0	0	2.2985863693828295	8.806014976078018	HPGDS;RRM1;GCLC;RRM2;GPX4;RRM2B;MGST1;SRM
Pyrimidine metabolism	8/57	0.02389992945368233	0.049737691025230804	0	0	2.2582602927269906	8.432072426422327	RRM1;RRM2;RRM2B;CAD;NME2;TK1;TYMS;TYMP
Glycolysis / Gluconeogenesis	9/68	0.024337724492248785	0.05030885331283641	0	0	2.129572665751739	7.912912109642901	G6PC2;PDHA1;PKLR;ALDOC;PCK1;FBP1;FBP2;HK1;PCK2
Cysteine and methionine metabolism	7/47	0.025052444839396504	0.05144102007022749	0	0	2.396398555314014	8.835003510669798	DNMT1;GCLC;AHCYL1;MAT2A;CTH;DNMT3A;SRM
Dilated cardiomyopathy (DCM)	11/91	0.025326206140969663	0.05165875159879905	0	0	1.9449576971700866	7.149500347149928	CACNB1;DES;TGFB3;TPM2;ITGA2B;GNAS;ATP2A2;CACNA1C;PRKACA;CACNG4;ACTG1
Signaling pathways regulating pluripotency of stem cells	15/139	0.02609907132827334	0.05288496032308019	0	0	1.736342221476238	6.330452918927972	FZD1;SMAD3;PCGF3;AXIN2;MAPK14;MAPK12;IGF1R;MAPK13;BMP4;APC;ID1;SMARCAD1;TCF3;SKIL;HRAS
mTOR signaling pathway	16/152	0.027147792067442007	0.05465045723380482	0	0	1.6936952195452428	6.108243315225347	FZD1;ATP6V1G2;NPRL2;INSR;TSC2;TSC1;BRAF;IGF1R;RPTOR;CLIP1;RHEB;RPS6KA2;ULK1;ATP6V1E1;EIF4E2;HRAS
Intestinal immune network for IgA production	7/48	0.027810632353986314	0.05562126470797263	0	0	2.3464735854116388	8.405858845667211	IL10;IL4;PIGR;CD40;IL5;CD80;HLA-DPB1
Purine metabolism	14/129	0.029600323011133262	0.05881870637050997	0	0	1.746212900771452	6.146617033362308	PRPS2;RRM1;RRM2;PKLR;PDE4C;NME2;ADA2;FHIT;PAICS;PFAS;APRT;RRM2B;PDE8A;ADA
ECM-receptor interaction	10/82	0.030387368591925906	0.059995573886622945	0	0	1.9622078763024156	6.855421116812966	GP9;VWF;SDC4;GP1BB;LAMA4;ITGA2B;GP1BA;GP6;THBS1;CD44
Ovarian steroidogenesis	7/49	0.030767571988022317	0.06035931319943231	0	0	2.2985863693828295	8.002054938922385	CYP11A1;INSR;GNAS;PRKACA;CGA;CYP19A1;IGF1R
One carbon pool by folate	4/20	0.032352993893259734	0.06306786151344303	0	0	3.2180209171359615	11.041186533821838	MTHFD1;SHMT1;MTHFR;TYMS
Bile secretion	9/72	0.03379773499393984	0.065469826277569	0	0	2.011263073209976	6.8128750819633614	ABCC3;ABCC4;NR1H4;GNAS;SLC4A2;ATP1A1;PRKACA;CFTR;ABCG2
Pentose phosphate pathway	5/30	0.035831245755577494	0.06897514807948668	0	0	2.681684097613301	8.927151997220369	PRPS2;RGN;ALDOC;FBP1;FBP2
Aldosterone synthesis and secretion	11/98	0.040682614226172274	0.07782760982398174	0	0	1.8060321473722234	5.782832665136943	ATF2;CREB1;CYP11A1;PRKCE;GNA11;NPPA;GNAS;CACNA1C;ATP1A1;PRKACA;CACNA1H
Retrograde endocannabinoid signaling	15/148	0.04219169945016062	0.0802163174731449	0	0	1.6307538431432238	5.162203104054746	FAAH;NDUFA13;NDUFA7;NDUFB5;NDUFA1;CACNA1C;MAPK14;MAPK12;MAPK13;MAPK10;GNB1;GNB4;NDUFS1;PRKACA;GRIA4
Estrogen signaling pathway	14/137	0.045770381791576005	0.08648636559389822	0	0	1.6442442642300534	5.071043467896294	NCOA1;ATF2;NCOA3;FOS;MMP9;KRT19;CREB1;KRT15;GNAS;BCL2;RARA;PRKACA;CTSD;HRAS
Oocyte meiosis	13/125	0.04706320453276482	0.0883869938786071	0	0	1.6733708769106999	5.114262840736382	PLK1;CDC25C;SMC1A;MAPK12;IGF1R;PPP2R1B;CCNE2;CCNE1;RPS6KA2;CDC16;CDK2;PRKACA;SKP1
Fanconi anemia pathway	7/54	0.04869553461345216	0.09089833127844404	0	0	2.0857542981436787	6.303499780605964	RAD51;USP1;FANCA;HES1;FANCC;BRCA1;BRCA2
Vitamin B6 metabolism	2/6	0.048961151283071894	0.09084358189871171	0	0	5.363368195226602	16.179823686167385	PSAT1;PDXP
Synaptic vesicle cycle	9/78	0.052302322035222726	0.09646176758591975	0	0	1.8565505291169009	5.478150585774775	ATP6V0B;RAB3A;ATP6V1G2;STXBP1;CLTC;TCIRG1;STX3;ATP6V1E1;SLC6A3
Fatty acid degradation	6/44	0.05335194435586426	0.09781189798575114	0	0	2.194105170774519	6.430581854637279	HADHB;CPT1A;ACOX1;EHHADH;CPT1C;CPT1B
